converter_id;carrier_id;input_country_specific;output_country_specific;input;output
1;2;0;0;1;1
2;29;0;0;1;1
4;10;0;0;1;1
6;5;0;;1;
6;1;;1;;0.5
6;32;;1;;0.5
7;5;0;;1;
7;1;;1;;0.75
7;32;;1;;0.25
8;5;0;;1;
8;1;;1;;0.95
8;32;;1;;0.05
10;5;0;;1;
10;41;;0;;1
10;1;;0;;0
11;61;0;;1;
11;1;;1;;0
11;2;;1;;1
12;5;1;;0.210526315789474;
12;7;1;;0.789473684210526;
12;1;;1;;0
12;2;;1;;1
13;5;0;;1;
13;1;;1;;0.05
13;2;;1;;0.95
14;5;1;;0.111111111111111;
14;7;1;;0.888888888888889;
14;1;;1;;0
14;10;;1;;1
14;29;;1;;0
15;5;1;;0.25;
15;8;1;;0.75;
15;1;;1;;0
15;29;;1;;1
16;5;0;;1;
16;1;;1;;0
16;10;;1;;1
17;61;0;;1;
17;1;;1;;0
17;10;;1;;1
19;66;0;;1;
19;1;;1;;-0.0669999999999999
19;10;;1;;1.067
20;6;0;;1;
20;1;;1;;0.84
20;5;;1;;0.16
21;5;1;1;1;1
22;4;1;1;1;1
22;1;;1;;0
23;40;2;;1;
23;3;2;;0;
23;24;2;;0;
23;1;;2;;0.6
23;4;;2;;0
23;5;;2;;0.4
24;5;;;1;1
25;10;;;1;1
26;5;;;1;1
27;40;;;1;
27;1;;;;0.2752
27;4;;;;0.4729
27;5;;;;0.2519
28;40;;;1;
28;3;;;0;
28;24;;;0;
28;1;;;;0.23
28;4;;;;0.45
28;5;;;;0.32
29;11;;;1;
29;1;;;;0.142
29;4;;;;0.432
29;5;;;;0.426
32;31;;;1;
32;1;;;;1
33;30;;;1;
33;1;;;;1
34;5;;;1;
34;31;;;;1.18203309692671
35;16;;;1;
35;31;;;;0.409500409500409
36;15;;;1;
36;31;;;;0.349167091001673
37;5;;;1;
37;30;;;;1.18203309692671
38;16;;;1;
38;30;;;;0.409500409500409
39;15;;;1;
39;30;;;;0.349167091001673
40;17;;;1;
40;30;;;;0.448979591836735
41;38;;;1;
41;31;;;;0.4
42;38;;;1;
42;30;;;;0.4
44;3;;;1;1
46;16;;;1;
46;41;;;;1
47;18;;;1;
47;41;;;;1
48;5;;;1;
48;1;;;;0.1
48;41;;;;0.9
49;29;;;1;1
50;10;;;1;1
51;5;;;1;1
52;5;;;0.210526315789474;
52;7;;;0.789473684210526;
52;1;;;;0
52;10;;;;1
55;5;;;0.1;
55;8;;;0.9;
55;29;;;;1
56;10;;;1;1
57;66;;;1;1
58;5;;;1;1
61;14;;;1;
61;1;;;;0.7
61;41;;;;0.3
62;5;;;1;1
63;4;;;1;0.976154909700632
63;1;;;;0.0238450902993684
64;21;;;1;
64;1;;;;0.75
64;4;;;;0
64;5;;;;0.25
65;5;;;1;0.965759917793846
65;1;;;;0.0342400822061541
66;11;;;0;
66;53;;;0;
66;14;;;1;
66;1;;;;0.54
66;4;;;;0
66;5;;;;0.46
67;11;;;0;
67;53;;;0;
67;14;;;1;
67;1;;;;0.639
67;4;;;;0
67;5;;;;0.361
68;11;;;0;
68;53;;;0;
68;14;;;1;
68;1;;;;0.64
68;4;;;;0
68;5;;;;0.36
69;11;;;0;
69;53;;;0;
69;35;;;1;
69;1;;;;0.6
69;4;;;;0
69;5;;;;0.4
70;11;;;0;
70;53;;;0;
70;35;;;1;
70;1;;;;0.695
70;4;;;;0
70;5;;;;0.305
71;11;;;0;
71;53;;;0;
71;14;;;1;
71;1;;;;0.547
71;4;;;;0
71;5;;;;0.453
72;11;;;0;
72;53;;;0;
72;14;;;1;
72;1;;;;0.627
72;4;;;;0
72;5;;;;0.373
73;3;;;1;
73;1;;;;0.55
73;4;;;;0
73;5;;;;0.45
74;40;;;1;
74;3;;;0;
74;24;;;0;
74;1;;;;0.42
74;4;;;;0
74;5;;;;0.58
75;11;;;0;
75;53;;;0;
75;14;;;1;
75;1;;;;0.29
75;4;;;;0.4
75;5;;;;0.31
76;4;;;1;
76;2;;;;1
76;1;;;;0
77;24;;;1;
77;1;;;;0.16
77;4;;;;0.38
77;5;;;;0.46
78;37;;;1;
78;5;;;;1
79;22;;;1;
79;1;;;;0.64
79;4;;;;0
79;5;;;;0.36
80;23;;;1;
80;1;;;;0.03
80;5;;;;0.97
81;23;;;1;
81;1;;;;0.03
81;5;;;;0.97
82;23;;;1;
82;1;;;;0.03
82;5;;;;0.97
83;11;;;1;
83;1;;;;0.67
83;4;;;;0
83;5;;;;0.33
85;6;;;1;
85;1;;;;0.65
85;5;;;;0.35
86;7;;;1;
86;4;;;;1
87;25;;;1;
87;1;;;;0.02
87;5;;;;0.98
88;25;;;1;
88;1;;;;0.02
88;5;;;;0.98
90;7;;;1;
90;1;;;;0.75
90;5;;;;0.25
91;13;;;0;
91;66;;;;0.998955565062203
91;9;;;1;
91;1;;;;0.00104443493779716
92;9;;;1;0.987012987012987
92;1;;;;0.012987012987013
93;16;;;1;1
93;1;;;;0
94;15;;;1;1
94;1;;;;0
95;20;;;1;1
95;1;;;;0
96;18;;;1;1
96;1;;;;0
97;19;;;1;1
97;1;;;;0
99;17;;;1;1
100;24;;;1;1
101;11;;;1;1
102;9;;;1;1
103;24;;;1;1
104;1;;;0;0
104;3;;;1;1
105;1;;;0;0
105;9;;;1;1
106;14;;;1;1
106;1;;;;0
107;1;;;0;0
107;22;;;1;1
109;3;;;1;0.999928516928001
109;1;;;;7.14830719990642e-05
111;1;;;0;0
111;11;;;1;1
112;1;;;0;0
112;13;;;1;1
113;1;;;0;0
113;14;;;1;1
114;14;;;1;1
115;3;;;1;1
116;3;;;1;1
117;66;;;1;1
119;14;;;1;1
120;11;;;1;1
123;66;;;1;1
125;16;;;1;
125;1;;;;0.7
125;41;;;;0.3
126;3;;;1;
126;1;;;;0.00560000000000005
126;17;;;;0.9944
127;3;;;1;
127;1;;;;0.00560000000000005
127;16;;;;0.9944
128;3;;;1;
128;1;;;;0.00560000000000005
128;15;;;;0.9944
129;3;;;1;
129;1;;;;0
129;20;;;;1
130;18;;;1;1
131;19;;;1;1
133;13;;;1;1
134;3;;;1;1
134;1;;;;0
136;22;;;1;1
136;1;;;;0
137;22;;;1;1
137;1;;;;0
138;3;;;1;1
139;9;;;1;1
140;11;;;1;1
142;16;;;1;1
143;15;;;1;1
144;20;;;1;1
145;18;;;1;1
146;19;;;1;1
148;17;;;1;1
149;15;;;1;
149;41;;;;1
151;3;;;1;1
152;3;;;1;1
153;66;;;1;1
156;11;;;1;1
157;66;;;1;
157;1;;;;-0.0669999999999999
157;2;;;;1.067
160;14;;;1;1
161;5;;;1;
161;1;;;;1
162;5;;;1;1
163;66;;;1;1
164;3;;;1;1
165;4;;;1;
165;10;;;;1
167;11;;;1;1
168;14;;;1;1
169;5;;;1;1
170;66;;;1;1
172;3;;;1;1
173;4;;;1;1
175;11;;;1;1
176;14;;;1;1
177;5;;;1;1
178;66;;;1;1
180;3;;;1;1
181;4;;;1;
181;10;;;;1
182;3;;;1;1
184;11;;;1;1
185;14;;;1;1
186;5;;;1;1
187;66;;;1;1
188;3;;;1;1
189;4;;;1;
189;10;;;;1
190;66;;;1;1
197;66;;;1;1
200;11;;;1;1
201;14;;;1;1
202;5;;;1;1
203;66;;;1;1
205;3;;;1;1
206;5;;;1;1
210;3;;;1;1
211;3;;;1;1
212;11;;;1;
212;1;;;;0.18
212;10;;;;0.82
213;14;;;1;
213;1;;;;0.2
213;10;;;;0.8
215;3;;;1;
215;1;;;;0.15
215;10;;;;0.85
217;32;;;1;
217;1;;;;1
218;3;;;1;1
220;11;;;1;1
223;1;;;1;
223;5;;;;1
224;1;;;1;1
225;1;;;1;1
226;1;;;1;1
227;5;;;1;
227;1;;;;1
228;3;;;1;
228;1;;;;1
229;66;;;1;
229;1;;;;1
230;4;;;1;
230;1;;;;1
231;6;;;1;
231;1;;;;0.84
231;5;;;;0.16
235;19;;;1;1
236;18;;;1;1
239;7;;;0.5;
239;66;;;0.5;
239;1;;;;0.0698917252941138
239;10;;;;0.930108274705886
240;22;;;1;1
242;13;;;1;1
243;14;;;1;1
245;4;;;1;1
246;24;;;1;1
247;3;;;1;1
249;37;;;1;1
250;1;;;1;1
251;1;;;1;1
256;33;;;1;1
257;1;;;1;1
258;1;;;1;1
260;34;;;1;
260;5;;;;0.4
260;1;;;;0.6
261;40;;;1;
261;1;;;;0.0564
261;4;;;;0.5763
261;5;;;;0.3673
262;11;;;1;
262;1;;;;0.239175257731959
262;10;;;;0.760824742268041
263;3;;;1;
263;1;;;;0.211340206185567
263;10;;;;0.788659793814433
264;66;;;1;
264;1;;;;0.1
264;10;;;;0.9
265;40;;;1;
265;1;;;;0.1609
265;4;;;;0.4808
265;5;;;;0.3583
266;10;;;1;1
267;14;;;1;
267;10;;;;0.8
267;1;;;;0.2
268;3;;;1;
268;10;;;;0.788659793814433
268;1;;;;0.211340206185567
269;11;;;1;
269;10;;;;0.760824742268041
269;1;;;;0.239175257731959
270;66;;;1;
270;10;;;;0.9
270;1;;;;0.1
271;11;;;1;
271;2;;;;0.82
271;1;;;;0.18
272;35;;;1;1
273;14;;;1;
273;10;;;;0.8
273;1;;;;0.2
274;3;;;1;
274;10;;;;0.83
274;1;;;;0.17
275;11;;;1;
275;1;;;;0.2
275;10;;;;0.8
276;66;;;1;
276;1;;;;0.1
276;10;;;;0.9
279;5;;;0.0434782608695652;
279;7;;;0.956521739130435;
279;10;;;;1
280;5;;;0.0416666666666667;
280;7;;;0.958333333333333;
280;10;;;;1
281;11;;;1;1
283;35;;;1;1
284;21;;;1;1
285;10;;;1;1
286;10;;;1;1
287;24;;;0;
287;34;;;0;
287;3;;;0;
287;66;;;1;
287;40;;;;1
289;33;;;1;1
290;33;;;1;1
291;17;;;1;
291;31;;;;0.448979591836735
293;14;;;1;
293;2;;;;0.6
293;1;;;;0.4
294;3;;;1;
294;2;;;;0.6
294;1;;;;0.4
295;5;;;1;1
298;4;;;1;1
299;4;;;1;1
300;4;;;1;1
301;5;;;1;1
302;5;;;1;1
303;5;;;1;1
304;37;;;1;
304;37;;;;1
305;37;;;1;
305;37;;;;1
306;37;;;1;
306;37;;;;1
307;5;;;1;
307;37;;;;1
308;40;;;1;
308;1;;;;0.1
308;4;;;;0.9
311;14;;;1;0.838517889372545
311;1;;;;0.161482110627455
312;5;;;1;1
313;10;;;1;1
314;10;;;1;1
315;10;;;1;1
316;5;;;0.25;
316;7;;;0.75;
316;1;;;;0
316;10;;;;1
318;66;;;1;
318;1;;;;0.2
318;4;;;;0.45
318;5;;;;0.35
319;11;;;1;
319;1;;;;0.3
319;4;;;;0.4
319;5;;;;0.3
320;4;;;0;1
320;7;;;1;0
321;5;;;0.173913043478261;
321;8;;;0.826086956521739;
321;1;;;;0
321;29;;;;1
322;66;;;0.588235294117647;
322;8;;;0.411764705882353;
322;1;;;;0
322;29;;;;1
323;5;;;0.1;
323;8;;;0.9;
323;1;;;;0
323;29;;;;1
324;10;;;1;
324;1;;;;1
325;66;;;1;
325;10;;;;0.4
325;1;;;;0.6
326;5;;;1;
326;10;;;;0.55
326;1;;;;0.45
327;5;;;1;
327;10;;;;0.6
327;1;;;;0.4
328;5;;;1;
328;1;;;;0.15
328;10;;;;0.85
329;5;;;1;
329;41;;;;1
329;1;;;;0
330;5;;;1;
330;41;;;;1
330;1;;;;0
332;5;;;1;
332;41;;;;1
332;1;;;;0
333;5;;;1;
333;41;;;;1
333;1;;;;0
334;5;;;1;
334;41;;;;1
334;1;;;;0
335;5;;;1;
335;41;;;;1
335;1;;;;0
337;5;;;1;
337;41;;;;1
337;1;;;;0
338;10;;;1;1
339;10;;;1;1
340;29;;;1;1
341;5;;;1;1
342;32;;;1;1
343;5;;;1;
343;32;;;;0.16
343;1;;;;0.84
344;5;;;1;
344;32;;;;0.2
344;1;;;;0.8
345;5;;;1;
345;32;;;;0.45
345;1;;;;0.55
346;6;;;1;
346;1;;;;0.84
346;5;;;;0.16
347;4;;;1;1
347;1;;;;0
348;66;;;1;
348;10;;;;1.067
348;1;;;;-0.0669999999999999
349;5;;;1;
349;10;;;;1
349;1;;;;0
350;40;;;1;
350;5;;;;0.37
350;4;;;;0.35
350;1;;;;0.28
351;14;;;1;
351;5;;;;0.36
351;4;;;;0.3
351;1;;;;0.34
352;11;;;1;
352;5;;;;0.23
352;4;;;;0.35
352;1;;;;0.42
353;6;;;1;
353;10;;;;0.95
353;1;;;;0.05
354;66;;;0.5;
354;7;;;0.5;
354;10;;;;1
354;1;;;;0
355;11;;;1;
355;10;;;;0.82
355;1;;;;0.18
356;5;;;0.111111111111111;
356;7;;;0.888888888888889;
356;10;;;;1
356;1;;;;0
357;66;;;0.588235294117647;
357;8;;;0.411764705882353;
357;29;;;;1
357;1;;;;0
358;5;;;0.1;
358;8;;;0.9;
358;29;;;;1
358;1;;;;0
359;41;;;1;1
360;5;;;0.222222222222222;
360;8;;;0.777777777777778;
360;29;;;;1
360;1;;;;0
361;41;;;1;1
362;11;;;1;1
363;14;;;1;1
364;3;;;1;1
366;4;;;1;
366;10;;;;1
367;29;;;1;1
368;29;;;1;1
369;29;;;1;1
370;29;;;1;1
371;10;;;1;1
374;29;;;1;1
375;66;;;1;
375;1;;;;0.285
375;2;;;;0.715
376;66;;;1;
376;1;;;;-0.0670000000000002
376;5;;;;0.174922
376;2;;;;0.892078
377;3;;;1;
377;1;;;;0.15
377;10;;;;0.85
378;14;;;1;
378;1;;;;0.2
378;10;;;;0.8
379;10;;;1;1
380;10;;;1;1
381;29;;;1;1
382;29;;;1;1
383;10;;;1;1
384;10;;;1;1
385;29;;;1;1
386;29;;;1;1
387;32;;;1;1
388;32;;;1;1
389;32;;;1;1
390;32;;;1;1
391;4;;;1;
391;10;;;;1
392;22;;;1;
392;1;;;;0.68
392;4;;;;0
392;5;;;;0.32
394;5;;;1;1
395;66;;;1;
395;2;;;;1
396;5;;;1;
396;2;;;;1
397;2;;;1;1
398;10;;;1;1
399;3;;;1;
399;41;;;;1
400;66;;;1;
400;41;;;;1
401;11;;;1;
401;41;;;;1
402;5;;;1;
402;41;;;;1
403;3;;;1;
403;41;;;;1
404;66;;;1;
404;41;;;;1
405;11;;;1;
405;41;;;;1
406;5;;;1;
406;41;;;;1
407;66;;;1;
407;10;;;;1
408;5;;;1;
408;10;;;;1
409;40;;;1;
409;3;;;0;
409;24;;;0;
409;1;;;;0.51
409;4;;;;0
409;5;;;;0.49
410;5;;;1;1
411;4;;;1;1
412;5;;;1;1
413;4;;;1;1
414;4;;;1;1
415;4;;;1;1
416;4;;;1;1
417;66;;;1;
417;1;;;;-0.0670000000000002
417;5;;;;0.174922
417;10;;;;0.892078
419;4;;;1;1
420;5;;;1;1
421;5;;;1;1
422;4;;;1;1
423;35;;;1;
423;5;;;;0.31
423;4;;;;0.4
423;1;;;;0.29
