key,demand,max_demand
energy_production_bio_ethanol,1.07595950000000E+04,
energy_production_biodiesel,5.59235450000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,1.02385664791091E+05,
energy_production_biogenic_waste,5.92066050000000E+04,2.00000000000000E+04
energy_production_non_biogenic_waste,8.87474550000000E+04,2.00000000000000E+04
energy_production_wood_pellets,,
energy_production_bio_residues_for_firing,,6.05262172600000E+04
energy_production_manure,,
energy_production_corn,,
energy_production_algae_diesel,0.00000000000000E+00,
energy_production_wood,0.00000000000000E+00,