present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,0,605.99,1211.97,1817.96,2423.95,3029.93,3635.92,4241.91,4847.89,5453.88,6059.86,6665.85,7271.84,7877.82,8483.81,9089.80,9695.78,10301.77,10907.76,11513.74,12119.73,12725.72,13331.70,13937.69,14543.67,15149.66,15755.65,16361.63,16967.62,17573.61,18179.59,18785.58,19391.57,19997.55,20603.54,21209.53,21815.51,22421.50,23027.49,23633.47,24239.46,24845.44,25451.43,26057.42,26663.40,27269.39,27875.38,28481.36,29087.35,29693.34,30299.32,30905.31,31511.30,32117.28,32723.27,33329.25,33935.24,34541.23,35147.21,35753.20,36359.19,36965.17,37571.16,38177.15,38783.13,39389.12,39995.11,40601.09,41207.08,41813.07,42419.05,43025.04,43631.02,44237.01,44843.00
1,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226,41207.07871,41813.06517,42419.05162,43025.03807,43631.02452,44237.01097
2,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226,41207.07871,41813.06517,42419.05162,43025.03807,43631.02452
3,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226,41207.07871,41813.06517,42419.05162,43025.03807
4,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226,41207.07871,41813.06517,42419.05162
5,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226,41207.07871,41813.06517
6,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226,41207.07871
7,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581,40601.09226
8,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936,39995.10581
9,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291,39389.11936
10,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646,38783.13291
11,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16,38177.14646
12,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355,37571.16
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871,36965.17355
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065,36359.1871
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142,35753.20065
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775,35147.2142
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129,34541.22775
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484,33935.24129
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839,33329.25484
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194,32723.26839
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549,32117.28194
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904,31511.29549
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258,30905.30904
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613,30299.32258
