present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968,29693.33613
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323,29087.34968
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678,28481.36323
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033,27875.37678
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387,27269.39033
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742,26663.40387
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097,26057.41742
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452,25451.43097
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807,24845.44452
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162,24239.45807
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516,23633.47162
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871,23027.48516
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226,22421.49871
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581,21815.51226
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936,21209.52581
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291,20603.53936
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645,19997.55291
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58,19391.56645
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355,18785.58
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071,18179.59355
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065,17573.6071
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342,16967.62065
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774,16361.6342
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129,15755.64774
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484,15149.66129
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839,14543.67484
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194,13937.68839
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549,13331.70194
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903,12725.71549
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258,12119.72903
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613,11513.74258
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968,10907.75613
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227,10301.76968
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775,9695.783227
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323,9089.796775
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872,8483.810323
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742,7877.823872
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968,7271.83742
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517,6665.850968
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065,6059.864517
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613,5453.878065
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162,4847.891613
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871,4241.905162
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258,3635.91871
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807,3029.932258
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355,2423.945807
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903,1817.959355
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517,1211.972903
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9864517
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0